i,noisy_psnr,prediction_psnr,overlap_psnr_mean,overlap_psnr_median
0,20.175171677064437,19.032313799590714,19.032313799590714,19.032313799590714
1,20.175171677064437,19.041484710215684,19.041484710215684,19.041484710215684
2,20.175171677064437,18.981136675342412,18.981136675342412,18.981136675342412
3,20.175171677064437,18.98373482778161,18.98373482778161,18.98373482778161
4,20.175171677064437,19.010271487067925,19.010271487067925,19.010271487067925
5,20.175171677064437,18.99937132238604,18.99937132238604,18.99937132238604
6,20.175171677064437,19.033779191648698,19.033779191648698,19.033779191648698
7,20.175171677064437,19.022438480414536,19.022438480414536,19.022438480414536
8,20.175171677064437,19.028807369693276,19.028807369693276,19.028807369693276
9,20.175171677064437,19.01301009683115,19.01301009683115,19.01301009683115
10,20.175171677064437,19.026052953650627,19.026052953650627,19.026052953650627
11,20.175171677064437,19.017550694478864,19.017550694478864,19.017550694478864
12,20.175171677064437,18.986749031134956,18.986749031134956,18.986749031134956
13,20.175171677064437,19.012694809051958,19.012694809051958,19.012694809051958
14,20.175171677064437,19.040475682981736,19.040475682981736,19.040475682981736
15,20.175171677064437,19.009195282195556,19.009195282195556,19.009195282195556
16,20.175171677064437,18.978636274390276,18.978636274390276,18.978636274390276
17,20.175171677064437,18.96482769921359,18.96482769921359,18.96482769921359
18,20.175171677064437,18.966650257010656,18.966650257010656,18.966650257010656
19,20.175171677064437,19.01893210546486,19.01893210546486,19.01893210546486
20,20.175171677064437,19.00330025346046,19.00330025346046,19.00330025346046
21,20.175171677064437,18.974315154759644,18.974315154759644,18.974315154759644
22,20.175171677064437,19.000872081544987,19.000872081544987,19.000872081544987
23,20.175171677064437,19.014400402003183,19.014400402003183,19.014400402003183
24,20.175171677064437,19.026797385105272,19.026797385105272,19.026797385105272
25,20.175171677064437,19.047470653926194,19.047470653926194,19.047470653926194
26,20.175171677064437,19.033517839648773,19.033517839648773,19.033517839648773
27,20.175171677064437,19.03196401671663,19.03196401671663,19.03196401671663
28,20.175171677064437,19.058515934921797,19.058515934921797,19.058515934921797
29,20.175171677064437,19.007785616482163,19.007785616482163,19.007785616482163
