i,noisy_psnr,prediction_psnr,overlap_psnr_mean,overlap_psnr_median
0,20.199698202662265,20.61128002960586,20.61128002960586,20.61128002960586
1,20.199698202662265,20.614481278903437,20.614481278903437,20.614481278903437
2,20.199698202662265,20.60523853826797,20.60523853826797,20.60523853826797
3,20.199698202662265,20.63463572111528,20.63463572111528,20.63463572111528
4,20.199698202662265,20.61847908633692,20.61847908633692,20.61847908633692
5,20.199698202662265,20.60935275969374,20.60935275969374,20.60935275969374
6,20.199698202662265,20.58063141712095,20.58063141712095,20.58063141712095
7,20.199698202662265,20.590158686052277,20.590158686052277,20.590158686052277
8,20.199698202662265,20.62805332954313,20.62805332954313,20.62805332954313
9,20.199698202662265,20.582812347124154,20.582812347124154,20.582812347124154
10,20.199698202662265,20.604453391314294,20.604453391314294,20.604453391314294
11,20.199698202662265,20.578628101986055,20.578628101986055,20.578628101986055
12,20.199698202662265,20.63793846439529,20.63793846439529,20.63793846439529
13,20.199698202662265,20.61812701626604,20.61812701626604,20.61812701626604
14,20.199698202662265,20.647890538239352,20.647890538239352,20.647890538239352
15,20.199698202662265,20.588456009394534,20.588456009394534,20.588456009394534
16,20.199698202662265,20.58574989963459,20.58574989963459,20.58574989963459
17,20.199698202662265,20.6163576368792,20.6163576368792,20.6163576368792
18,20.199698202662265,20.600713994037022,20.600713994037022,20.600713994037022
19,20.199698202662265,20.62099852257628,20.62099852257628,20.62099852257628
20,20.199698202662265,20.63462764973093,20.63462764973093,20.63462764973093
21,20.199698202662265,20.66883569857289,20.66883569857289,20.66883569857289
22,20.199698202662265,20.596862117251224,20.596862117251224,20.596862117251224
23,20.199698202662265,20.60880661008314,20.60880661008314,20.60880661008314
24,20.199698202662265,20.591276156841765,20.591276156841765,20.591276156841765
25,20.199698202662265,20.645283915370417,20.645283915370417,20.645283915370417
26,20.199698202662265,20.625094254214716,20.625094254214716,20.625094254214716
27,20.199698202662265,20.646467465941033,20.646467465941033,20.646467465941033
28,20.199698202662265,20.645248503113717,20.645248503113717,20.645248503113717
29,20.199698202662265,20.615337496695858,20.615337496695858,20.615337496695858
