i,all_img_mean_noisy_psnr,all_img_mean_prediction_psnr,all_img_mean_overlap_psnr_mean,all_img_mean_overlap_psnr_median
0.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
1.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
2.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
3.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
4.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
5.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
6.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
7.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
8.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
9.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
10.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
11.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
12.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
13.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
14.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
15.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
16.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
17.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
18.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
19.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
20.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
21.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
22.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
23.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
24.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
25.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
26.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
27.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
28.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
29.0,20.166950455792673,20.383110869115537,13.21225662019667,13.21225662019667
