i,noisy_ssim,prediction_ssim,overlap_ssim_mean,overlap_ssim_median
0,0.38367125221722165,0.7257536885011813,0.7257536885011813,0.7257536885011813
1,0.38367125221722165,0.7254960906630318,0.7254960906630318,0.7254960906630318
2,0.38367125221722165,0.7285519966618086,0.7285519966618086,0.7285519966618086
3,0.38367125221722165,0.7301786891231178,0.7301786891231178,0.7301786891231178
4,0.38367125221722165,0.7273949671045138,0.7273949671045138,0.7273949671045138
5,0.38367125221722165,0.7265086848783361,0.7265086848783361,0.7265086848783361
6,0.38367125221722165,0.7288739028875857,0.7288739028875857,0.7288739028875857
7,0.38367125221722165,0.7290414427356473,0.7290414427356473,0.7290414427356473
8,0.38367125221722165,0.727449856558323,0.727449856558323,0.727449856558323
9,0.38367125221722165,0.726460731970017,0.726460731970017,0.726460731970017
10,0.38367125221722165,0.7312488774256879,0.7312488774256879,0.7312488774256879
11,0.38367125221722165,0.7263920870377579,0.7263920870377579,0.7263920870377579
12,0.38367125221722165,0.7274516726096211,0.7274516726096211,0.7274516726096211
13,0.38367125221722165,0.7259375656387311,0.7259375656387311,0.7259375656387311
14,0.38367125221722165,0.7304731413238407,0.7304731413238407,0.7304731413238407
15,0.38367125221722165,0.7258172504883101,0.7258172504883101,0.7258172504883101
16,0.38367125221722165,0.731119151493112,0.731119151493112,0.731119151493112
17,0.38367125221722165,0.7267320790413007,0.7267320790413007,0.7267320790413007
18,0.38367125221722165,0.7318275818718054,0.7318275818718054,0.7318275818718054
19,0.38367125221722165,0.7271944413653356,0.7271944413653356,0.7271944413653356
20,0.38367125221722165,0.7283676337668848,0.7283676337668848,0.7283676337668848
21,0.38367125221722165,0.7266209822632457,0.7266209822632457,0.7266209822632457
22,0.38367125221722165,0.72808943814341,0.72808943814341,0.72808943814341
23,0.38367125221722165,0.7279989671362935,0.7279989671362935,0.7279989671362935
24,0.38367125221722165,0.7307029769177344,0.7307029769177344,0.7307029769177344
25,0.38367125221722165,0.728138123042301,0.728138123042301,0.728138123042301
26,0.38367125221722165,0.7268938202847568,0.7268938202847568,0.7268938202847568
27,0.38367125221722165,0.7264860802752757,0.7264860802752757,0.7264860802752757
28,0.38367125221722165,0.7290167106065687,0.7290167106065687,0.7290167106065687
29,0.38367125221722165,0.7258015180640612,0.7258015180640612,0.7258015180640612
