i,noisy_ssim,prediction_ssim,overlap_ssim_mean,overlap_ssim_median
0,0.35004651412180576,0.7426064344110603,0.7426064344110603,0.7426064344110603
1,0.35004651412180576,0.743367255210017,0.743367255210017,0.743367255210017
2,0.35004651412180576,0.740126657090707,0.740126657090707,0.740126657090707
3,0.35004651412180576,0.7409848601494693,0.7409848601494693,0.7409848601494693
4,0.35004651412180576,0.7437610519004739,0.7437610519004739,0.7437610519004739
5,0.35004651412180576,0.7394672986808429,0.7394672986808429,0.7394672986808429
6,0.35004651412180576,0.7418675462831369,0.7418675462831369,0.7418675462831369
7,0.35004651412180576,0.740506143931819,0.740506143931819,0.740506143931819
8,0.35004651412180576,0.7415518612378937,0.7415518612378937,0.7415518612378937
9,0.35004651412180576,0.7412584002672071,0.7412584002672071,0.7412584002672071
10,0.35004651412180576,0.7449671561030601,0.7449671561030601,0.7449671561030601
11,0.35004651412180576,0.7451415254790846,0.7451415254790846,0.7451415254790846
12,0.35004651412180576,0.740258344847542,0.740258344847542,0.740258344847542
13,0.35004651412180576,0.7442076868790506,0.7442076868790506,0.7442076868790506
14,0.35004651412180576,0.7414347960786786,0.7414347960786786,0.7414347960786786
15,0.35004651412180576,0.7433924101763355,0.7433924101763355,0.7433924101763355
16,0.35004651412180576,0.7444827892495229,0.7444827892495229,0.7444827892495229
17,0.35004651412180576,0.7423466551821526,0.7423466551821526,0.7423466551821526
18,0.35004651412180576,0.7432697839038634,0.7432697839038634,0.7432697839038634
19,0.35004651412180576,0.7430404407510837,0.7430404407510837,0.7430404407510837
20,0.35004651412180576,0.741680726576186,0.741680726576186,0.741680726576186
21,0.35004651412180576,0.7394871723574122,0.7394871723574122,0.7394871723574122
22,0.35004651412180576,0.7414530475850336,0.7414530475850336,0.7414530475850336
23,0.35004651412180576,0.7447575631654686,0.7447575631654686,0.7447575631654686
24,0.35004651412180576,0.7443614099229795,0.7443614099229795,0.7443614099229795
25,0.35004651412180576,0.7413403929774194,0.7413403929774194,0.7413403929774194
26,0.35004651412180576,0.7436560348181236,0.7436560348181236,0.7436560348181236
27,0.35004651412180576,0.7418467451934627,0.7418467451934627,0.7418467451934627
28,0.35004651412180576,0.7411627084011443,0.7411627084011443,0.7411627084011443
29,0.35004651412180576,0.7423306742695621,0.7423306742695621,0.7423306742695621
