i,noisy_ssim,prediction_ssim,overlap_ssim_mean,overlap_ssim_median
0,0.4434567796837106,0.7222324623615133,0.7222324623615133,0.7222324623615133
1,0.4434567796837106,0.718706657607505,0.718706657607505,0.718706657607505
2,0.4434567796837106,0.7196342083960817,0.7196342083960817,0.7196342083960817
3,0.4434567796837106,0.723915808471885,0.723915808471885,0.723915808471885
4,0.4434567796837106,0.7181244460404369,0.7181244460404369,0.7181244460404369
5,0.4434567796837106,0.7213188817619418,0.7213188817619418,0.7213188817619418
6,0.4434567796837106,0.7195748271108828,0.7195748271108828,0.7195748271108828
7,0.4434567796837106,0.7145727779303395,0.7145727779303395,0.7145727779303395
8,0.4434567796837106,0.7211303354457108,0.7211303354457108,0.7211303354457108
9,0.4434567796837106,0.7216404137760835,0.7216404137760835,0.7216404137760835
10,0.4434567796837106,0.7205484352030571,0.7205484352030571,0.7205484352030571
11,0.4434567796837106,0.7205531545834374,0.7205531545834374,0.7205531545834374
12,0.4434567796837106,0.7234730150259018,0.7234730150259018,0.7234730150259018
13,0.4434567796837106,0.7194079922863148,0.7194079922863148,0.7194079922863148
14,0.4434567796837106,0.7194453635299549,0.7194453635299549,0.7194453635299549
15,0.4434567796837106,0.7188671132923338,0.7188671132923338,0.7188671132923338
16,0.4434567796837106,0.7211054809334807,0.7211054809334807,0.7211054809334807
17,0.4434567796837106,0.720750453229244,0.720750453229244,0.720750453229244
18,0.4434567796837106,0.7203906455723728,0.7203906455723728,0.7203906455723728
19,0.4434567796837106,0.7192600323340501,0.7192600323340501,0.7192600323340501
20,0.4434567796837106,0.7185540630075781,0.7185540630075781,0.7185540630075781
21,0.4434567796837106,0.7189219299093917,0.7189219299093917,0.7189219299093917
22,0.4434567796837106,0.7208637473749521,0.7208637473749521,0.7208637473749521
23,0.4434567796837106,0.720962071076473,0.720962071076473,0.720962071076473
24,0.4434567796837106,0.7194385184527331,0.7194385184527331,0.7194385184527331
25,0.4434567796837106,0.7174549649199748,0.7174549649199748,0.7174549649199748
26,0.4434567796837106,0.717949636794599,0.717949636794599,0.717949636794599
27,0.4434567796837106,0.7230928713871017,0.7230928713871017,0.7230928713871017
28,0.4434567796837106,0.7207816295123989,0.7207816295123989,0.7207816295123989
29,0.4434567796837106,0.7197224440486889,0.7197224440486889,0.7197224440486889
