i,all_img_mean_noisy_ssim,all_img_mean_prediction_ssim,all_img_mean_overlap_ssim_mean,all_img_mean_overlap_ssim_median
0.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
1.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
2.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
3.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
4.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
5.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
6.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
7.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
8.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
9.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
10.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
11.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
12.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
13.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
14.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
15.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
16.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
17.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
18.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
19.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
20.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
21.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
22.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
23.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
24.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
25.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
26.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
27.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
28.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
29.0,0.39235272057814846,0.7293357176646117,0.4520947693661188,0.4520947693661188
