k,noisy,prediction,overlap_mean,overlap_median
1,0.29886654878174385,0.7215644194206511,0.7186663030169611,0.7186663030169611
2,0.2996881099677702,0.7183299093800491,0.740460891332347,0.7275832380587514
3,0.29813950218889756,0.7178133826185931,0.7495974970398103,0.7423595419831991
4,0.2983063124854532,0.7216220718629174,0.7555743153675659,0.745951289739686
5,0.30066276923447344,0.7209840523316315,0.7591096319982071,0.7521230699356263
6,0.2993859096991078,0.7239916475808382,0.7585419211674106,0.7516273760404668
7,0.30027206944275403,0.7181765247627915,0.7598520392356706,0.7531094778738828
8,0.3012117276542066,0.7242566185956721,0.7604160562045019,0.7536197961740309
9,0.2978897980054984,0.7205853907997287,0.7587111926110771,0.7529826909709748
10,0.2990969010930003,0.7154778046480105,0.7620064773372511,0.7555904218759333
11,0.29882774263132517,0.7191428531943118,0.7621185643376065,0.7567007453837435
12,0.29789932960257,0.7173886316439447,0.7628852106675194,0.7573473540660594
13,0.29912823588781273,0.7170963180761393,0.7646546577894597,0.7586990442427826
14,0.3004024012775879,0.7196800689563734,0.765411978419361,0.7605363106481678
15,0.2983411041191102,0.7176056559940831,0.764453689452203,0.7593958246606879
16,0.2977529800109768,0.7231430709467106,0.7625680853760489,0.7571930749628807
17,0.3035529242332922,0.7234043630494457,0.7684584581852014,0.7637785712659892
18,0.29918404667792664,0.7186669408195994,0.7656167183628394,0.7601897579409844
19,0.29778262552163415,0.7175908009766078,0.7648935167468793,0.760584052178232
20,0.2999974252901492,0.7260335565557512,0.7667349452220534,0.7617423718409879
21,0.30070448264752514,0.7152939692076636,0.7650670656869027,0.7603130529632424
22,0.2982772513535609,0.7219713785378888,0.7645873941509707,0.760281116816494
23,0.3002065512878668,0.7201996761346157,0.7664964539054114,0.762050014508411
24,0.29713872323753593,0.7194648819058361,0.765246329269948,0.760602022259386
25,0.30191739276634766,0.7189497589849877,0.7690772651679734,0.7646809017040183
26,0.30115705914574664,0.7175797814559073,0.7659795345289341,0.7614771009137948
27,0.3016418566589001,0.7237158802279567,0.7651948104537053,0.7612778093811615
28,0.2979072655603973,0.7206372980581319,0.7637620388090581,0.7595591792769821
29,0.3002414997827637,0.7196705350645538,0.7648394912273899,0.7608350039021576
30,0.2977569873785864,0.7168593958796735,0.7684194578823188,0.7642149516076677
