k,noisy,prediction,overlap_mean,overlap_median
1,0.27104826364375717,0.6923714923955571,0.6942021482398009,0.6942021482398009
2,0.2711857024393492,0.69552667245402,0.7134641350817765,0.6994760235301309
3,0.2712666256224614,0.6972272178206645,0.7278525649991824,0.7193480100131217
4,0.27168054163817,0.6963841530632262,0.7320790537377487,0.7220164585962887
5,0.27327943032775087,0.6956629037517233,0.7336980169037068,0.7252573528190958
6,0.2701377654812876,0.6955841894567795,0.737215900766529,0.7286846949221079
7,0.26952262438313473,0.69375285421329,0.7379607539926221,0.7306185646651935
8,0.2712942840507907,0.6927702138980429,0.7391906289443698,0.7310128107808885
9,0.27108498417812493,0.6958847514010131,0.7369951565631201,0.7298345206322203
10,0.27352552584217393,0.6978120557086599,0.7425960303918735,0.735099316229595
11,0.2700739840482304,0.6934128730978859,0.7395111897449929,0.7329873073219645
12,0.27081586100963884,0.6934357950305581,0.7382332901222668,0.7316023827756657
13,0.27069184098604293,0.6972441113612232,0.7391249162847752,0.7326172780304885
14,0.2703543549161364,0.6997146527873196,0.7375174271804967,0.730727845303334
15,0.2691338130896002,0.6975000301544971,0.7400132101007731,0.7339211008091167
16,0.269545457366621,0.6929212048412018,0.7411809348168099,0.7342392540923055
17,0.27048422359923446,0.6895265774726033,0.7415706652287013,0.7355043999572043
18,0.27006841322565783,0.6950992342131662,0.7415425539978744,0.7354801740399197
19,0.2706616764836229,0.6899280373965163,0.7405043583079387,0.7341628476128746
20,0.27094058492252115,0.6943953391695279,0.7426013582923846,0.7364513732975259
21,0.2710778952237186,0.6954844387090227,0.7400612388991494,0.7343110596658592
22,0.2696540781114842,0.6906199826911444,0.7450322662245897,0.7387220159477661
23,0.2713842874131148,0.6923348696482482,0.745243793783335,0.7390876457205763
24,0.27129350127450713,0.6957301158894479,0.7408728746828658,0.7350937765965371
25,0.26956848538150346,0.6925341626620864,0.7420366797030028,0.7364790184046084
26,0.2705924065022895,0.696750658749329,0.740869706063544,0.7345494421219692
27,0.27018754487219127,0.6991887601367163,0.7419133243703094,0.7358200361262398
28,0.2701986939065736,0.6981888458755384,0.7385249126730191,0.7326818693644591
29,0.27173122794025406,0.6987634001331771,0.7429123550390224,0.7372196134119556
30,0.2674298278149268,0.6972954680772868,0.7421274193618065,0.7368396237835014
