k,noisy,prediction,overlap_mean,overlap_median
1,20.164327732056474,21.869663022388334,21.84409377129031,21.84409377129031
2,20.209996756933165,21.86262486286655,22.035761831924923,21.20219195477828
3,20.156451895281442,21.805628267276546,22.024943938229796,21.97254999126431
4,20.166560496698835,21.776759332001113,22.088473084906628,21.660585401815577
5,20.15926890064309,21.81841952503685,22.075375715125894,22.023955613901517
6,20.185344508066297,21.812879101456183,22.094286224570844,21.785144147333742
7,20.16673101405118,21.843696230863976,22.14233808735417,22.100873578924784
8,20.128937412407574,21.87043916431316,22.111716562059836,21.874096526449563
9,20.186956009944925,21.84368183246668,22.148481174331422,22.120861843006004
10,20.15781879465822,21.86035150952517,22.158524680639164,21.95737571242011
11,20.17228422481339,21.862369470462856,22.168653638840787,22.132648642900147
12,20.15442072573565,21.85850824274475,22.090070849212733,21.926673511537036
13,20.185699185224692,21.88470873159656,22.16230737471303,22.13115702911486
14,20.179520696989947,21.7954236696359,22.175246459237798,22.032774301372417
15,20.15484685330502,21.901392769813288,22.20001210577214,22.174440543534747
16,20.17090552717149,21.84558697861844,22.16786169664257,22.027276265487117
17,20.181938632576216,21.813231285621306,22.210547865026268,22.179445396109287
18,20.18946654361113,21.851860105973753,22.220191133686722,22.09588560482174
19,20.19362713175728,21.815593760102008,22.18481033969137,22.161399987053215
20,20.147046266779377,21.84355250512261,22.21314436624297,22.11072377566607
21,20.1333446154489,21.90739326161879,22.147125387786186,22.126434294676752
22,20.193880355904923,21.880117402443858,22.161318038773047,22.06952524125438
23,20.16797438176694,21.807225107641898,22.149439511930336,22.10756999073141
24,20.145060403089417,21.830245263451722,22.196658050984954,22.100327763554763
25,20.16469729550501,21.922346952924254,22.22463344157239,22.189716305648037
26,20.178701285098487,21.835557466793666,22.23019124091487,22.13797954693119
27,20.195062497954154,21.91624128312953,22.15921151822958,22.138422727599988
28,20.144805896429595,21.825189852002648,22.17927263536349,22.098580970008392
29,20.11028894788189,21.793830184670952,22.17145256497296,22.14402277281607
30,20.14601060407002,21.802750390770722,22.155878186751167,22.081843277617452
