k,noisy,prediction,overlap_mean,overlap_median
1,20.192699092789148,20.36672107364496,20.274437702908877,20.274437702908877
2,20.13632059192907,20.372562537606136,20.48372587118314,19.821377655409552
3,20.141081169982872,20.269018844997085,20.507268414141112,20.481423429472173
4,20.13765386267834,20.420731078177305,20.485128474466258,20.121833042448515
5,20.193052725503197,20.36165859085049,20.58251795068047,20.56223450339597
6,20.164210052109937,20.4384578964094,20.58455571531971,20.343790963621622
7,20.18568218734794,20.379187419629634,20.549360601871385,20.521540519600677
8,20.150043685036817,20.300391481564386,20.546155862476894,20.36807937585513
9,20.157154268756884,20.39120874239753,20.517434568670346,20.50014264901796
10,20.156162711265402,20.41935193038528,20.588335598988124,20.440865431949035
11,20.14988731626947,20.387174799021114,20.58811783683391,20.562996631729042
12,20.186786029411582,20.31119991979134,20.553927395580484,20.427862204186265
13,20.163336053622576,20.351472913386758,20.546620757971375,20.539399498392058
14,20.166866942173574,20.34588656246708,20.604572966203506,20.49342442395913
15,20.14717483905403,20.407595706611534,20.559127591645282,20.541474889678657
16,20.155966973492873,20.347473275166074,20.567335404633784,20.478889314254207
17,20.155020765906933,20.36766339309804,20.532375415842147,20.524438725328853
18,20.187259228071643,20.398118594700122,20.54240997351977,20.458833317606498
19,20.16425052073791,20.309577059157924,20.541366063251736,20.541186575927878
20,20.146363157421288,20.35366987946484,20.569859849344493,20.496771556026584
21,20.158436670388234,20.245031899979885,20.584114230958868,20.57147081043592
22,20.130986605552714,20.35090373474297,20.57820584033442,20.507421030411706
23,20.16925246381883,20.406202124068354,20.613463848359842,20.598236667883675
24,20.190303494957426,20.393596418146032,20.575696868035717,20.51735267117121
25,20.170948633122947,20.36125634976319,20.59411919304678,20.582769630630153
26,20.174094363005366,20.375565917206107,20.60536291375776,20.54319447637338
27,20.147046266779377,20.33094132966561,20.576458737838603,20.570327638654074
28,20.157112010025564,20.323852771459162,20.565783096040526,20.509248688758973
29,20.200071917072115,20.38232747639492,20.56944594316482,20.558476539260255
30,20.154651159703096,20.33678918701998,20.549140232625437,20.50048923027284
