k,noisy,prediction,overlap_mean,overlap_median
1,20.158563984660752,21.06752147419856,21.055389121104252,21.055389121104252
2,20.190017758725745,21.046415974919025,21.207302577504304,20.373248648233208
3,20.164247509726863,21.120458901824236,21.268875433151727,21.233364084570596
4,20.14433218840708,21.072405271945446,21.32363475204622,20.884917553600136
5,20.190915972513153,21.089659889545885,21.358037664400456,21.316470213727413
6,20.189287092392156,21.091830808926098,21.36497242578728,21.02879719301351
7,20.21019785505978,21.06642147876668,21.405389526262585,21.370735323669297
8,20.198950449747972,21.056789835214175,21.441859121877698,21.188750957840618
9,20.171410017349253,21.155912772644598,21.309689706557187,21.265491467548756
10,20.145613314534586,21.064106095461483,21.38318073627255,21.187071896876244
11,20.179970322142168,21.01703788902224,21.326238066929406,21.294698025656924
12,20.177601183286118,21.024564072531163,21.35128578477311,21.16827004122372
13,20.20493077594335,21.06749736551349,21.40803467607892,21.377325119302306
14,20.200727648698653,21.09069091771817,21.356512811425343,21.199092508919364
15,20.13968234210772,21.09493606646954,21.38226183671805,21.356105293400617
16,20.156964652133883,21.059403019076875,21.39576747278737,21.257427250403197
17,20.189549280610947,21.082162120499138,21.37659940247977,21.351361204374783
18,20.196726891303864,21.118214505748867,21.424020085545234,21.30020760187503
19,20.14387365930556,21.06646686114406,21.41750500937414,21.390256820571917
20,20.189675846626756,21.114793042845005,21.327036643384368,21.221214446080086
21,20.155161576624185,21.088670122120586,21.40834703510467,21.3822722830222
22,20.20291213084558,21.060643693543835,21.334034459938977,21.236554390366152
23,20.136982964753905,21.079594000969394,21.35758507618471,21.33832029329742
24,20.178423014494108,21.04603083320512,21.430207060152732,21.332075483207813
25,20.22813627546534,21.040595758686877,21.36645347338583,21.33506439499234
26,20.219004987816763,21.078047545212154,21.34234477098046,21.241322527507137
27,20.185725803445457,21.091090206369913,21.38871171801324,21.36380305734039
28,20.187423250148974,21.077908519842012,21.3776862938709,21.286200608163593
29,20.1349578083847,21.04510408474041,21.362607827038666,21.33435037541899
30,20.167743087690727,21.09562303003536,21.394742921169506,21.318747677796765
