k,noisy,prediction,overlap_mean,overlap_median
1,20.182773529093478,17.74249545022976,17.697859325823963,17.697859325823963
2,20.1760949105037,17.75896469234594,17.797485736131424,17.325765661532653
3,20.16715286190131,17.700161376827054,17.795412900759807,17.78851876645999
4,20.160050069154746,17.69869756538384,17.81109403652731,17.568108044273494
5,20.151206294506764,17.765091654074368,17.83181937075205,17.822658648062657
6,20.193697850966664,17.72144189101712,17.86387059962548,17.691784252153784
7,20.12815848135993,17.765289021741633,17.832815716715924,17.823742977068576
8,20.172151519858986,17.7364551450608,17.866189255071028,17.742155837711785
9,20.17860436780338,17.71855043817704,17.83752808524261,17.838821571402253
10,20.227119522712034,17.74322004108416,17.81895139276758,17.717896209055986
11,20.173532234325556,17.751457238851863,17.829852087771087,17.830906614871648
12,20.158700576499676,17.780821597514368,17.84091401946427,17.754082848224165
13,20.167667512592274,17.727192800367295,17.85756208374265,17.859070460892994
14,20.16030610059105,17.747601539938216,17.819294872142258,17.747686546027406
15,20.128937412407574,17.791242055805107,17.8075468236799,17.802437096532874
16,20.21956215329901,17.787449195795876,17.8201479717357,17.75149042287098
17,20.148294463556297,17.71253705545995,17.858850435582617,17.86009336790674
18,20.22640408872014,17.76396962345673,17.828118013446144,17.771376456197572
19,20.14440874457041,17.681430477547426,17.83358570883902,17.82581868191931
20,20.207260682731846,17.717975595593135,17.874104763674836,17.816468307086602
21,20.180771695445728,17.770641341166527,17.860523499464712,17.86028202922346
22,20.224311113645243,17.761479853620983,17.868734326805882,17.822013351013243
23,20.156735010275728,17.751925219522153,17.87723637977746,17.874365097243224
24,20.183286014402135,17.756253871675533,17.85723292640974,17.819307439606934
25,20.158084867273388,17.75700162639612,17.870838920202367,17.870264713346174
26,20.170496369123256,17.731755148199596,17.87522832649331,17.837251045471636
27,20.179970995615044,17.729447973324135,17.839472457738953,17.835277353728312
28,20.169676382336522,17.75700536712339,17.83697560464729,17.799207374210994
29,20.120211433118467,17.733380378648846,17.861435109146058,17.86019773662352
30,20.177576499023232,17.71361862208824,17.87926831909679,17.843003423662807
