k,noisy,prediction,overlap_mean,overlap_median
1,20.187904554579813,18.935517048328343,18.8962542303429,18.8962542303429
2,20.166603740275622,18.841301978866582,18.990014387555878,18.320460041636984
3,20.186204872616756,18.938632976721866,19.03996469436389,19.006515481530194
4,20.23801020343057,18.87110096983209,18.991902758000386,18.633386782271526
5,20.188107060194337,18.90988635157346,19.041991353706578,19.01786166070457
6,20.17260840245422,18.929805116286875,19.08548028763075,18.838950144319096
7,20.181887074739244,18.920600973345845,19.06106074014365,19.048968774562404
8,20.154247125182756,18.93329122016229,19.05955634294543,18.869921055103923
9,20.173975683549227,18.91765211705134,19.082341922367515,19.058425226198693
10,20.196018220641577,18.926122884229446,19.075217696308155,18.919638129743227
11,20.15870707253315,18.89123433407294,19.040996298318078,19.02749858613254
12,20.164327732056474,18.943559653945204,19.088155990170495,18.95055388941237
13,20.132245096749998,18.89495077358534,19.03450138279196,19.017313711584332
14,20.171410017349253,18.92721263829157,19.04377105773947,18.924821126336607
15,20.160924086001014,18.85707845202456,19.067616945357813,19.043654111735147
16,20.138489146484634,18.867084075149464,19.059718749902906,18.95780645614037
17,20.161925710256906,18.860852191300076,19.0905837488282,19.068525810758615
18,20.188950888091533,18.89527134674119,19.079721302512993,18.982796375669665
19,20.18670825003598,18.870085179664354,19.041134987477367,19.025571050962704
20,20.193052725503197,18.905936187671262,19.108603541487838,19.02744972914884
21,20.184288571905732,18.939187730121795,19.085434926162407,19.068444921890972
22,20.169123114192967,18.856557197947396,19.10833423789256,19.02752523348704
23,20.191334773290105,18.873962883387055,19.030870548900438,19.01800628834541
24,20.187288393736367,18.984061716407115,19.10014531035185,19.027828905967116
25,20.17273570008417,18.901895135245866,19.1025887548469,19.09350462233408
26,20.212246598709115,18.86312769069304,19.071888136703762,18.997839366065637
27,20.15926890064309,18.950650687182723,19.041091444150148,19.02955920372358
28,20.216802332038277,18.923971645698185,19.115151056578192,19.053073881188674
29,20.14443640799225,18.880146991516003,19.073969110319346,19.062490291224567
30,20.133341307495627,18.923451931154617,19.078128564560767,19.01585715976183
