k,noisy,prediction,overlap_mean,overlap_median
1,20.17080913437041,20.087532655435826,20.154380236162357,20.154380236162357
2,20.165891593801287,20.145765761095653,20.23559861141928,19.50391107106842
3,20.188107060194337,20.128919166213265,20.28579201144955,20.244823078574953
4,20.20286026539255,20.124715610482255,20.32065785190766,19.928815643968
5,20.21060398165014,20.070338305852594,20.31389863207364,20.29212602497466
6,20.173975683549227,20.148729172294274,20.31763683919958,20.037600376308703
7,20.153557308999048,20.144146151421758,20.31765832996376,20.294547940280353
8,20.118336354908397,20.106084373308924,20.340406517817232,20.145606827000965
9,20.132245096749998,20.11832324922461,20.304770787475583,20.275773988885422
10,20.166748831158404,20.154046655657055,20.306078052190017,20.139235148022582
11,20.16541903384194,20.14879110307391,20.350981191554332,20.33313307006159
12,20.161925710256906,20.11323726262998,20.33666269054084,20.17988597565596
13,20.166541124690397,20.15739485382531,20.353940168617722,20.330331899378603
14,20.20493077594335,20.134407882952694,20.386175262805892,20.260515522347042
15,20.184288571905732,20.168802649801517,20.36120444646171,20.340221311839247
16,20.139403047453023,20.124992378834527,20.306334707808812,20.19414675923474
17,20.16360780321768,20.161548758081075,20.367116675815996,20.34692309537602
18,20.172735700084168,20.14694054357617,20.3876394457931,20.293897516492848
19,20.15531166878672,20.216125020999556,20.320555491744294,20.301880647434338
20,20.178911445928062,20.074090575120486,20.413730961109543,20.32760738400637
21,20.14443640799225,20.10229296736695,20.373084593935697,20.359859642998348
22,20.144215294633504,20.090488415550052,20.323815323316374,20.23260153332654
23,20.154430426811697,20.143399735128355,20.367213993071335,20.35147056919626
24,20.17013835522366,20.213160002682514,20.392464574870317,20.318181944459575
25,20.155465102612137,20.212655584801823,20.404211850034404,20.389044662488644
26,20.2017115834207,20.14539665706025,20.380807690481877,20.311988738426958
27,20.17208058015497,20.114885766607365,20.40364447855922,20.381721373226767
28,20.153579501005385,20.108504160860324,20.373906268630165,20.307748745041508
29,20.16767105207551,20.156495399175427,20.400542501468017,20.3877272769809
30,20.149301220411772,20.124431786095826,20.3406843334067,20.273812935314478
