k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.169501746145006,22.697796761448696,22.709707538861693,22.709707538861693,22.709707538861693
2,20.171451911895986,22.72437428020747,22.933666165011616,22.933666164902572,22.933666165011616
3,20.13885517683205,22.65098785884065,22.975558788568506,22.92533413630806,22.975558788568506
4,20.218723683101874,22.74400608239226,23.074152373133522,23.079137896467493,23.074152373133522
5,20.160323443181227,22.720702251969776,23.0321954592579,22.99050011433355,23.0321954592579
6,20.171499912327768,22.63059254344379,23.000748479908324,22.980921369367433,23.000748479908324
7,20.121237069255248,22.694363640075345,23.05236121560624,23.027223627802407,23.05236121560624
8,20.192592192659898,22.62681888406458,23.01267902763088,22.992742850179255,23.009651100140715
9,20.20043060555046,22.77141768245493,23.075450292335912,23.045083623338435,23.072730143570617
10,20.1730566929306,22.687075129162622,23.014557881032257,23.003670686491763,23.01145799458327
11,20.146913548151517,22.62936267829773,23.10773467157778,23.08983863297656,23.107689426872717
12,20.194581710056255,22.729987675282175,23.106195605519527,23.09189617279053,23.10522660674705
13,20.152378716192203,22.72133489973133,23.11022430975491,23.092446069076175,23.110003919607067
14,20.187423250148974,22.653386105233952,23.09060447552784,23.075857867689482,23.086623055135593
15,20.192759942118084,22.730454033264845,23.07696283645262,23.06088948781936,23.07798106643924
16,20.16261875077167,22.68493122785455,23.110641601569128,23.10114127358152,23.108801619736347
17,20.16339970410247,22.633004104175765,23.075628617793967,23.063734816262944,23.074136784980027
18,20.196297315442173,22.641600071053634,23.036480507457867,23.026602064598837,23.034200324890477
19,20.14720643092357,22.6469146779366,23.043402888230382,23.02771938455285,23.04356663944992
20,20.193074563042124,22.645609823852627,23.09864600877356,23.08943112394632,23.096143344238854
21,20.166277472254567,22.70817133134762,23.101158919760323,23.09361723180617,23.100746024698733
22,20.17458186651547,22.642913925047765,23.08627522749406,23.077462426321375,23.087362708717603
23,20.137879217643416,22.689302028746233,23.09914889643224,23.093224152251256,23.098439288656884
24,20.165495589961978,22.645085404592436,23.094056101170054,23.08749565121864,23.092170436928345
25,20.17583515322791,22.67207391323433,23.123340543777708,23.114177034962072,23.122816845284966
26,20.17588620734779,22.714582927931314,23.1200798915209,23.115848158079434,23.119381955487007
27,20.220905311487964,22.68462908043756,23.092625713476693,23.088329865953817,23.09294934060373
28,20.188245327875308,22.63618905369801,23.10013796102829,23.09243917540607,23.09802650515508
29,20.174054651456707,22.673464743271985,23.09721832702142,23.091033754033386,23.09938694874503
30,20.160789672784006,22.584650058000708,23.0086546070819,22.9932089548196,23.005921768601677
