k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.154021046672174,17.75081964876541,17.785319705274635,17.785319705274635,17.785319705274635
2,20.171368314360908,17.794825438231715,17.84534490366808,17.845344903538734,17.84534490366808
3,20.208315970176848,17.730381267949266,17.846168024144006,17.843402202594575,17.846168024144006
4,20.17856000148925,17.763734181415824,17.863359058472973,17.853054744347464,17.863359058472973
5,20.17802033172794,17.795434322581624,17.85773984836015,17.83546781883136,17.85773984836015
6,20.156088694786366,17.77236668906483,17.874611056063976,17.86631875273553,17.874611056063976
7,20.170133178195382,17.771775229681317,17.890932530336762,17.87288201788983,17.890932530336762
8,20.21252106231853,17.805143629090466,17.926828605622486,17.92086548933827,17.925346494010608
9,20.218723683101874,17.77743925818816,17.90485774710299,17.900800932480912,17.905498968047937
10,20.18007950788852,17.734583649749748,17.883266250476098,17.876509378953035,17.884776501172134
11,20.17264125353399,17.71602071344081,17.828443228767078,17.821050223831204,17.82755054950352
12,20.14966688732562,17.768632271105144,17.94482062303173,17.93939846100406,17.94200060796221
13,20.154163821425023,17.739248627076837,17.912031724442194,17.902713068047195,17.910582670726097
14,20.1893910805645,17.792370643741144,17.90435105599307,17.90070774832073,17.903550204327544
15,20.166558038705553,17.757247091891994,17.87145903859484,17.86404567347654,17.870746113121008
16,20.156964652133883,17.817247743925336,17.918631375154806,17.90914312375555,17.91519404332709
17,20.139733994667704,17.769397624924363,17.93052179214812,17.92196806358123,17.928029271857916
18,20.19994007249403,17.76964173582027,17.877765865528772,17.87543452132427,17.877941314378102
19,20.16843036754681,17.778724244065117,17.9286420842428,17.921677413389464,17.928553874070825
20,20.1730566929306,17.770005785001352,17.873889876272774,17.867530640584263,17.871173950508513
21,20.1963217104748,17.810802328677035,17.910090796561555,17.907393042306573,17.909667853186612
22,20.169031213231214,17.756999129059345,17.907366655831538,17.90160504012631,17.906015584262317
23,20.171541227846856,17.80336761073285,17.91600768242024,17.910716098806464,17.914480782285576
24,20.2024990717527,17.78095092043964,17.931249500240416,17.923779342054388,17.928800702116252
25,20.182530573669656,17.738966973466027,17.878268964504407,17.874792824457778,17.876364125706687
26,20.16654244379874,17.77209269656201,17.908612107990198,17.905221818728684,17.906350399364136
27,20.206638113206644,17.76629787081099,17.8860497076731,17.87835859402055,17.88425277833516
28,20.132583450053723,17.784501572677254,17.892607742769002,17.88712675156197,17.891977594283205
29,20.113161689749507,17.789449704344797,17.90926553716779,17.905056478913547,17.908521435714817
30,20.182580948057783,17.717865039392272,17.853241881953746,17.84748347622674,17.851063987403137
