k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.184528069428843,16.65290235271287,16.63522806331215,16.63522806331215,16.63522806331215
2,20.148414640811243,16.599693086987248,16.628034252668275,16.628034252752396,16.628034252668275
3,20.144578250934355,16.63764802426629,16.696274975991518,16.687466698599685,16.696274975991518
4,20.155454381074676,16.595920751145123,16.66737752067482,16.667598130563505,16.66737752067482
5,20.16433087712072,16.63583817030693,16.69807120247148,16.691603147084614,16.69807120247148
6,20.139801147798075,16.646925116833717,16.703987867636613,16.707274051077285,16.703987867636613
7,20.1882713272321,16.626972748249813,16.711410318583255,16.7069502753678,16.711410318583255
8,20.162341123563845,16.66142001463884,16.69167689233105,16.69288980770682,16.692112093054476
9,20.18236778896577,16.628484082104922,16.70619201038673,16.70455873299621,16.707261525602533
10,20.17085074940884,16.6307094343447,16.7155666650347,16.711581923777555,16.715686861437916
11,20.130425654000245,16.60865607756096,16.69691080723939,16.698770595975425,16.699135424175935
12,20.17656599223802,16.71043821172729,16.75209673113603,16.752376613132444,16.752466531532004
13,20.184113193718485,16.632909381334116,16.702129554175436,16.702402018200814,16.70235847585908
14,20.177086435546453,16.623610206259173,16.702366169466025,16.70030760922809,16.702599696682437
15,20.158928890030783,16.606111129161793,16.671123715550827,16.676184648075303,16.673063317262432
16,20.169501746145006,16.636738772615704,16.725937474596996,16.73069733345096,16.72734224307775
17,20.216004343168294,16.618750588350135,16.694603615601057,16.691445905314716,16.69480687361015
18,20.19686026572728,16.636847663546966,16.713018843683646,16.711777548863964,16.712643360968524
19,20.162268604538443,16.68582735110595,16.72371187102125,16.72443650698064,16.724564555527476
20,20.181887074739244,16.630883393459076,16.6957552308846,16.69661151337283,16.696003355033035
21,20.18397248431043,16.65166462986615,16.73297683250929,16.727779992505873,16.734661707057803
22,20.171451911895986,16.652116684770164,16.706393673648925,16.706494393341146,16.708538372928338
23,20.137985548815873,16.622903451899564,16.68705739508179,16.686899272436225,16.687972956555864
24,20.161799369382965,16.608929308880885,16.683802449509674,16.684856787361458,16.685237066514414
25,20.20335342252259,16.660843795432697,16.715774121137677,16.71380513897145,16.716107394774138
26,20.189287092392156,16.68024269004176,16.73042173865859,16.729708070652393,16.73131946861853
27,20.144645042517144,16.597420777056662,16.68813621871649,16.690952356686786,16.689483369110143
28,20.13885517683205,16.56248865386958,16.660575911578054,16.665443551256867,16.661789917984784
29,20.192020051293113,16.660575365931592,16.73767322473212,16.74008325334608,16.73860819050531
30,20.199373402833857,16.60058448218107,16.689657718043918,16.69317049888297,16.690609246141427
