k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.212026054442084,21.104110597906768,21.031284779287134,21.031284779287134,21.031284779287134
2,20.187592419793305,21.06752147419856,21.19132218798152,21.191322187873595,21.19132218798152
3,20.23801020343057,21.046415974919025,21.25167391586514,21.201477376174292,21.25167391586514
4,20.134937367237207,21.120458901824236,21.3085061268104,21.292487767388963,21.3085061268104
5,20.15583015762242,21.072405271945446,21.32419735949915,21.29051493155298,21.32419735949915
6,20.15154657960271,21.089659889545885,21.35966916442358,21.33676443276191,21.35966916442358
7,20.154738579491905,21.091830808926098,21.38988485451872,21.348459282765894,21.38988485451872
8,20.11213061429032,21.06642147876668,21.31829844339384,21.290853401555534,21.306490680607975
9,20.179845396091025,21.056789835214175,21.375050356712677,21.33597937006957,21.364843780452894
10,20.185673031200764,21.155912772644598,21.40234412970651,21.36202123350476,21.38729098631306
11,20.151206294506764,21.064106095461483,21.32247343842039,21.29776837435985,21.3146714205213
12,20.208528574115018,21.01703788902224,21.354944045703192,21.333932904791304,21.347225619519385
13,20.189816748747237,21.024564072531163,21.403350947901373,21.363935397549767,21.395235787672057
14,20.161556730965792,21.06749736551349,21.37172825371751,21.34878989791622,21.361946008995695
15,20.184288571905732,21.09069091771817,21.350438215034035,21.315609149060926,21.34131935913089
16,20.166558038705553,21.09493606646954,21.3554021421417,21.33038324348056,21.348542374344564
17,20.1851176191406,21.059403019076875,21.360887548443024,21.33911685548113,21.347659101006258
18,20.20043312408685,21.082162120499138,21.39974542921877,21.38172513798462,21.389290650536594
19,20.172276462554684,21.118214505748867,21.40272995442026,21.372589574930892,21.39327946136344
20,20.19763186856413,21.06646686114406,21.34641869225601,21.317858080030962,21.33612822158367
21,20.188355635935263,21.114793042845005,21.376492017961986,21.35264229495337,21.368182615328287
22,20.17617183904286,21.088670122120586,21.365420270632235,21.33928776601708,21.354899145508107
23,20.188547335502353,21.060643693543835,21.374706064978994,21.35543386217222,21.368131304597462
24,20.201526332804068,21.079594000969394,21.35901963743125,21.340419892668653,21.35023226708615
25,20.12106606253946,21.04603083320512,21.345666640138425,21.322598559287947,21.337299908403512
26,20.181303638295507,21.040595758686877,21.375533102877995,21.34885640173083,21.362607014761537
27,20.228742257547793,21.078047545212154,21.37663379555928,21.348520204101543,21.367969511960073
28,20.188605134813592,21.091090206369913,21.378247324514668,21.35795675343756,21.36841262437276
29,20.093251030324346,21.077908519842012,21.37374025637805,21.3395998153237,21.36493435594979
30,20.16549834342519,21.04510408474041,21.34334821038621,21.313754892831184,21.33392361914348
