k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.17085074940884,18.789285754209274,18.776939374431045,18.776939374431045,18.776939374431045
2,20.177086435546453,18.782609578795682,18.919044652038693,18.9190446520128,18.919044652038693
3,20.19686026572728,18.804521636053206,18.88931953326642,18.877302330048614,18.88931953326642
4,20.171451911895986,18.79890594050425,18.90462966868288,18.89082646340928,18.90462966868288
5,20.189287092392156,18.792755460157288,18.959611625878868,18.93278587601079,18.959611625878868
6,20.199373402833857,18.80832249348593,18.92683908303075,18.91889634559728,18.92683908303075
7,20.218723683101874,18.782945696964113,18.936088221702153,18.934974321827987,18.936088221702153
8,20.159050792005676,18.78176930227279,18.95015360197046,18.932947274928388,18.94423102053445
9,20.168931714696164,18.832965025412797,18.985200696377877,18.959892561821704,18.9793431426907
10,20.171499912327768,18.76466201566117,18.920451053008097,18.914460382183748,18.915309200978115
11,20.229187331148232,18.84284501775729,18.97899159745962,18.957996117882818,18.972137796968763
12,20.179648733599254,18.74572681375052,18.915761441677287,18.896462304534886,18.91382155474719
13,20.192592192659898,18.751620467088127,18.940635938166107,18.934882379490922,18.937083838689986
14,20.20633575075477,18.804425722342323,18.943674485537297,18.9311706021704,18.942449515825214
15,20.19763186856413,18.788754321991895,18.926209690855977,18.917314310188186,18.925519126718193
16,20.1730566929306,18.802602752512875,18.956693229955555,18.94793570683643,18.954198418322882
17,20.19383899367558,18.846549256215578,18.972031986411135,18.958446498616272,18.970022541370334
18,20.172430572754752,18.766876078043577,18.92659432692306,18.91476763410403,18.921924373747434
19,20.194581710056255,18.82756336503548,18.980818293701315,18.967803249974114,18.975895980034075
20,20.14988731626947,18.76414968490792,18.913454927121375,18.9025388415195,18.9091948546173
21,20.186798977694398,18.829773366173256,18.980947399478186,18.967884618907682,18.97568533144956
22,20.187423250148974,18.825929172958297,18.95344456382353,18.936768938093643,18.948714767478346
23,20.166813478178796,18.758679886755033,18.957111374664343,18.947698972302803,18.953534260603092
24,20.198479405729415,18.828147070712355,18.976428629676285,18.966837257095037,18.973696993659605
25,20.16261875077167,18.762402210383044,18.98562052170275,18.976971589582785,18.983333663430045
26,20.20887205548265,18.81265402861473,18.955301074215974,18.94504778354485,18.952426987216242
27,20.161709396800866,18.77582821219879,18.933073080350123,18.920649037136062,18.9297067194686
28,20.196297315442173,18.819060333302684,18.961350029497467,18.959566254324088,18.960208569861127
29,20.16707024902924,18.77882730415353,18.95985418700706,18.949640700702272,18.95709711763117
30,20.200671903379405,18.82094428736838,18.98531022372547,18.973901600407924,18.98258957389804
