k,noisy,prediction,overlap_mean,overlap_median,overlap_trimmed_mean
1,20.121594354191323,18.132110042088698,18.108207512508695,18.108207512508695,18.108207512508695
2,20.15723005957841,18.098955671827856,18.16325585445992,18.163255854612977,18.16325585445992
3,20.214296169584465,18.132381661222993,18.21090426251421,18.20235821736721,18.21090426251421
4,20.163556576446666,18.129067480781664,18.219538104911162,18.21863484723901,18.219538104911162
5,20.126292859633928,18.13830289842127,18.233877271283873,18.232243816744315,18.233877271283873
6,20.177601183286118,18.166942379564787,18.238912590248187,18.229240442301208,18.238912590248187
7,20.1893910805645,18.19909707116291,18.278696751089605,18.27267877437892,18.278696751089605
8,20.19701228050982,18.15893251064651,18.29347257945306,18.28232728730488,18.28993954760914
9,20.20633575075477,18.178152246488523,18.26001658070701,18.255144886874575,18.26054688981608
10,20.162801602546914,18.124219111614515,18.232546223095337,18.230158580863943,18.232824896995698
11,20.16982011222599,18.127920153551646,18.227299718652368,18.215945667978378,18.22649685483704
12,20.145909467708925,18.189905280175008,18.269920559313608,18.275749688945893,18.26950003583287
13,20.14037585262492,18.158582361272412,18.2619444922726,18.25742880312941,18.25946083974692
14,20.16139330560005,18.134879805594913,18.247894392654946,18.243365442397625,18.245351491083976
15,20.16549834342519,18.139316421118956,18.24623937102422,18.24109786185065,18.246506160221774
16,20.182580948057783,18.133035208026097,18.231954752384055,18.22870487561939,18.23202543592398
17,20.15369677821489,18.220353306632532,18.318952282205935,18.3197349319763,18.31996412966069
18,20.16151015006801,18.151910942451217,18.261115708188377,18.25849448800723,18.260606119538743
19,20.167557727500004,18.146642134727223,18.247980983979176,18.24776278309878,18.249081076115527
20,20.200671903379405,18.1487759552587,18.247030220676052,18.236374903969356,18.247234742156806
21,20.15553317094794,18.165327319956067,18.278309270514825,18.271815585331126,18.27695705754038
22,20.181346560654625,18.17548879154137,18.286140869420475,18.280991025011982,18.284808400243836
23,20.19965840789802,18.11224077738376,18.23479778662915,18.229180125339973,18.234451072640155
24,20.138378909300442,18.16752120209282,18.28294834314426,18.284034936217214,18.283981701244134
25,20.15119318320344,18.178936496942097,18.26980601962741,18.26464967294282,18.269990570327593
26,20.135484639119625,18.166294227229095,18.2735284471641,18.271584763146613,18.272585925719277
27,20.192461121108565,18.199357899689723,18.255028674117224,18.250827524029425,18.256019918816357
28,20.188099918796524,18.162794882633435,18.272255946386068,18.270088533634027,18.27311550990737
29,20.187759589297187,18.139775063776792,18.250419194291972,18.247071158102067,18.249667455109517
30,20.192208983103153,18.18976524943737,18.2829805208755,18.287098916971456,18.28498800918122
