k,noisy,prediction,overlap_mean,overlap_median
1,20.169501746145006,21.753374895390237,21.810475102474296,21.810475102474296
2,20.229768761480496,21.789174359182965,21.97992051438576,21.181689707483997
3,20.149571601993607,21.736037507901294,22.037042541574962,21.994391580808788
4,20.207791099918822,21.784130837304836,22.031836054259507,21.604564982678205
5,20.172300117221962,21.80947224016269,22.049576993291545,22.044411280754215
6,20.155103123866134,21.79569052586078,22.033944440836922,21.74761821984575
7,20.180876820774817,21.74636384172392,22.089054468297814,22.071005909615803
8,20.192899753332387,21.81559486118691,22.024123598641395,21.80196385344315
9,20.18434222962986,21.743986012264976,22.065198511082595,22.044706070171458
10,20.19340232906611,21.773860650333823,22.096122200130406,21.909189740746573
11,20.197774742851898,21.78666517761657,22.085763821187577,22.07282399217053
12,20.16190234636938,21.73637356753688,22.00762345568318,21.849383685029956
13,20.156004157031752,21.79604704846987,22.09941906332244,22.085563600490197
14,20.143474093349035,21.83594335725312,22.00156234349487,21.87752243294988
15,20.201526332804068,21.8316440646758,22.10202908155228,22.085655881693263
16,20.19397915997108,21.78202469569847,22.054212628119572,21.94410646432025
17,20.16010915113556,21.72996237661905,22.083299096828725,22.071110629162153
18,20.214493373765094,21.82203200757044,22.056359340300247,21.947531681374507
19,20.132583450053723,21.78534051599048,22.09845067618009,22.08694393211005
20,20.162006366328615,21.854122721258527,22.046129937885155,21.956561948875443
21,20.181368142017515,21.853920616583405,22.07620699034338,22.07557012834211
22,20.1637925479128,21.769469105520407,22.017622099639183,21.93923705860187
23,20.161709396800866,21.83968320431317,22.052029079372787,22.041181973890936
24,20.231618279177308,21.825253239526255,22.084282534444654,22.01619346721973
25,20.196318581260904,21.75300264769101,22.119621594975214,22.1138875156
26,20.213237632238897,21.786855910159993,22.09314886511887,22.021070818486837
27,20.15553317094794,21.76833342215221,22.081067007378785,22.06784838836249
28,20.1858507730924,21.790291599842956,22.126195774363072,22.069842922994294
29,20.1474469952945,21.727885924376835,22.129104740358972,22.117162363664796
30,20.13459523043966,21.90472000182269,22.05217799784443,21.995137734294154
