k,noisy,prediction,overlap_mean,overlap_median
1,20.196018220641577,20.05453561151624,20.085282517984776,20.085282517984776
2,20.208837850580572,20.028485872703765,20.18333990390133,19.43927138896559
3,20.17809014312631,19.9938994402938,20.174826861846824,20.143386917883
4,20.200225388334584,20.05874747230596,20.218880208854006,19.824994704087548
5,20.191334773290105,20.035027986447453,20.166518148625695,20.15304899837297
6,20.20633575075477,20.06616403473251,20.242456256802047,19.97554671283426
7,20.188355635935263,20.072793752559868,20.247809023555998,20.235457151917604
8,20.155270616923072,20.025218459907283,20.294362879153212,20.078500590859868
9,20.189100288607488,20.061703091355596,20.274411996587233,20.256130293341045
10,20.187646216377047,20.019731835850298,20.23808094273576,20.074784892606953
11,20.191731603520164,19.9956520338906,20.242759149844826,20.2251245860214
12,20.15781879465822,20.052364296958416,20.219292569610616,20.070329159494122
13,20.179366007848813,20.113733504672403,20.275631495616658,20.267911224375105
14,20.15008018608299,20.06223470918791,20.268129010117164,20.150538649228697
15,20.182674389044802,20.109953387698177,20.2550315645724,20.24131974062037
16,20.197245531675485,20.089639087079743,20.230541680247075,20.11692666317783
17,20.171261844369482,20.056946992777355,20.215066307406925,20.202195257934147
18,20.163549386582478,20.123794840990463,20.271278316335753,20.17178716888825
19,20.18091047567703,20.081932842096787,20.236865024334314,20.225817318384696
20,20.16925246381883,20.057910863188027,20.29264431588475,20.209597650850718
21,20.22144355677768,20.054417424249053,20.27505628461241,20.264477327704327
22,20.149482813320812,20.011203386468992,20.25862539321509,20.178202874562356
23,20.20373024027418,20.04782135867044,20.221635087522678,20.211430346045674
24,20.16581405537977,19.997059261134154,20.320695081453447,20.24901956580459
25,20.16925465469548,20.06987887607889,20.246878413451324,20.237247869555368
26,20.18273955405053,20.043217537966544,20.25386111531711,20.185578519251678
27,20.16797438176694,19.978621370985067,20.187524759295,20.172290589689347
28,20.13315765472734,19.977963829575273,20.230102550839728,20.165527323933325
29,20.170412636324695,20.078318570642566,20.268558405870813,20.260036467887836
30,20.17290408201923,20.055883007006187,20.236921395761904,20.177633135749893
